Intake Date,Intake Time,Animal ID,Name,Species,Primary Breed,Secondary Breed,Age (Months),Size Group,Sex,Altered in Care,Altered before arrival,Intake Type,Intake Sub-Type,Intake From (Zip Code),Address Found (Zip Code),Microchip Number,Outcome Date,Outcome Time,Outcome Type,Outcome Sub-type,Zip Code
09/10/2021,01:36 pm,JHS-A-80011,Benny,Cat,Domestic Shorthair,,1,,Male,Yes,No,Stray,No ID,32246,32246,981020041294302,10/12/2021,10:44 am,Adoption,On Site Adoption,32246
09/10/2021,01:35 pm,JHS-A-80010,Bjorn,Cat,Domestic Shorthair,,1,,Male,Yes,No,Stray,No ID,32246,32246,981020041252085,10/12/2021,10:00 am,Adoption,On Site Adoption,32246
09/10/2021,01:30 pm,JHS-A-80009,Sett,Cat,Domestic Shorthair,,,,Female,Yes,No,Stray,No ID,32216,32216,981020041293603,10/31/2021,01:06 pm,Adoption,On Site Adoption,32216
09/10/2021,01:30 pm,JHS-A-80008,Alcazar,Cat,Domestic Shorthair,,1,,Female,Yes,No,Stray,No ID,32216,32216,981020041250456,10/29/2021,02:13 pm,Adoption,On Site Adoption,32216
09/10/2021,01:30 pm,JHS-A-80007,Shabbadoo,Cat,Domestic Shorthair,,,,Female,Yes,No,Stray,No ID,32216,32216,981020041616998,10/30/2021,12:23 pm,Adoption,On Site Adoption,32216
09/10/2021,01:29 pm,JHS-A-80006,Rudy,Cat,Domestic Shorthair,,,,Male,Yes,No,Stray,No ID,32216,32216,981020041620372,10/30/2021,01:46 pm,Adoption,On Site Adoption,32216
09/10/2021,01:29 pm,JHS-A-80005,Cubert,Cat,Domestic Shorthair,,1,,Male,Yes,No,Stray,No ID,32216,32216,981020041111411,10/24/2021,12:44 pm,Adoption,On Site Adoption,32216
09/10/2021,01:28 pm,JHS-A-80004,Andy,Cat,Domestic Shorthair,,,,Male,Yes,No,Stray,No ID,32216,32216,981020041306929,10/27/2021,02:16 pm,Adoption,On Site Adoption,32216
09/10/2021,12:20 pm,JHS-A-80003,Mad Max,Cat,Domestic Shorthair,,1,,Male,Yes,No,Stray,Drop Off,32211,32218,981020039924183,10/26/2021,10:14 am,Adoption,On Site Adoption,32218
09/10/2021,12:15 pm,JHS-A-80002,Bananas,Cat,Domestic Shorthair,,4,,Male,No,No,Stray,Abandoned,32216,32216,981020041155840,09/14/2021,11:29 am,Adoption,On Site Adoption,32216
09/10/2021,12:05 pm,JHS-A-80001,Ambrose,Cat,Domestic Shorthair,,4,,Male,No,No,Stray,No ID,32246,32246,981020041618689,09/19/2021,02:01 pm,Adoption,On Site Adoption,32246
