Unnamed: 0,name,review_count,category,Additional categories,price,city,Zip code,state,rating,delivery,pickup,Accepts resvervations
215,Soul Food Express,29,american,Soul Food,$$,Jacksonville,32206,FL,4.5,Yes,No,No
216,Hot Dog Party,14,american,Hot Dogs,,Jacksonville,32207,FL,5.0,No,No,No
217,Culhane's Irish Pub & Restaurant,395,unique_foregin,Irish,$$,Jacksonville,32246,FL,4.5,Yes,No,No
218,Timwah Dim Sum Restaurant,411,american,Dim Sum,$$,Jacksonville,32256,FL,4.5,Yes,No,No
219,Chello’s Pizza,14,italian,Pizza,,Jacksonville,32217,FL,4.5,No,No,No
220,El Rinconcito De Lima,38,unique_foregin,Peruvian,$$,Jacksonville,32216,FL,4.5,Yes,Yes,No
221,The Lumpia Lady,5,unique_foregin,Filipino,$$,Jacksonville,32207,FL,4.5,No,No,No
222,Mr. Taco,12,convenience,Food Trucks,$,Jacksonville,32216,FL,4.5,Yes,No,No
223,The Conch Shell,8,unique_foregin,Caribbean,,Jacksonville,32206,FL,5.0,Yes,Yes,No
224,Kazu Sushi Burrito,84,asian/sushi,Japanese,$$,Jacksonville,32202,FL,4.0,Yes,Yes,No
225,BREW Five Points,305,cafe/breakfast,Coffee & Tea,$,Jacksonville,32204,FL,4.5,Yes,No,No
226,Haretna Mediterranean Cuisine,79,unique_foregin,Mediterranean,$$,Jacksonville,32225,FL,4.0,Yes,Yes,No
227,Mega's Pizzeria,59,italian,Pizza,$$,Jacksonville,32207,FL,4.0,Yes,Yes,No
228,Yara Seafood,7,seafood,Seafood,,Jacksonville,32207,FL,4.0,Yes,No,No
229,Rods Crab Shack & More,92,seafood,Seafood Markets,$$,Jacksonville,32225,FL,4.5,Yes,Yes,No
230,La Bodega Original,47,unique_foregin,Latin American,$$,Jacksonville,32210,FL,4.5,Yes,Yes,No
231,El Taino Bar And Restaurant,60,unique_foregin,Latin American,$$,Jacksonville,32216,FL,3.5,Yes,No,No
232,Currents Riverview Bistro,6,american,American (New),$,Jacksonville,32207,FL,4.0,Yes,No,No
233,Corner Taco,514,mexican/tex-mex,Tacos,$$,Jacksonville,32204,FL,4.0,Yes,Yes,No
234,4 Rivers Smokehouse,666,american,Barbeque,$$,Jacksonville,32256,FL,4.0,Yes,Yes,No
235,The Flame Broiler,74,asian/sushi,Korean,$,Jacksonville,32256,FL,4.0,Yes,Yes,No
236,Nacho Taco,353,convenience,Food Stands,$,Jacksonville,32204,FL,4.5,Yes,Yes,No
237,Mad O Seafood,153,seafood,Seafood,$$,Jacksonville,32257,FL,4.5,Yes,Yes,No
238,Austins Soul Food,86,american,Soul Food,$$,Jacksonville,32208,FL,4.0,Yes,No,No
239,Paris Bánh Mì Cafe Bakery - Jacksonville,140,asian/sushi,Vietnamese,$,Jacksonville,32224,FL,4.5,Yes,No,No
240,4 Rivers Smokehouse,277,american,Barbeque,$$,Orange Park,32073,FL,4.0,Yes,Yes,No
241,World Food Mart Food Corner,60,asian/sushi,Korean,$,Jacksonville,32207,FL,4.0,No,No,No
242,One Night Taco Stand,130,mexican/tex-mex,Tacos,$,Orange Park,32073,FL,4.0,Yes,Yes,No
243,Super Tienda Latina,6,mexican/tex-mex,Mexican,$,Jacksonville,32217,FL,4.0,No,No,No
244,The Cuban Place,114,unique_foregin,Cuban,$$,Jacksonville,32257,FL,4.5,Yes,No,No
